hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,461,2016,October,42,13,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,62,0,0,Canceled,21-10-2015
City Hotel,0,6,2016,May,21,16,1,2,1,0,0,BB,ARG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,136.67,0,1,Check-Out,19-05-2016
Resort Hotel,0,26,2016,March,12,14,0,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,8,NULL,0,Transient,0,0,0,Check-Out,14-03-2016
City Hotel,0,33,2016,July,29,15,0,1,1,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125.1,0,1,Check-Out,16-07-2016
City Hotel,1,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,NULL,0,Transient,89,0,0,Canceled,1/2/2016
Resort Hotel,1,383,2016,October,41,6,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315,NULL,0,Transient-Party,48,0,0,Canceled,4/3/2016
City Hotel,1,314,2016,October,42,12,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,NULL,68,Transient,75,0,0,Canceled,28-06-2016
Resort Hotel,0,327,2016,September,38,14,0,4,2,0,0,BB,IRL,Groups,TA/TO,0,0,0,A,C,1,No Deposit,201,NULL,0,Transient-Party,61.4,0,0,Check-Out,18-09-2016
City Hotel,0,4,2016,May,22,23,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,NULL,40,0,Transient,65,0,0,Check-Out,24-05-2016
City Hotel,1,76,2016,May,23,29,2,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,150.45,0,0,Canceled,8/5/2016
